Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
2024-06-04 11:27:37,Prodi Agribisnis S1,2018,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:28:30,Prodi Agribisnis S1,2018,2024,Mei,Karyawan Swasta,6,AHHA Korpora Indonesia,Host Live,,,,,,,,,5,5,
2024-06-04 11:28:55,Prodi Agribisnis S1,2017,2024,Mei,sedang mencari kerja,3,,,,,,,,,,,4,4,
2024-06-04 11:29:04,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:30:08,Prodi Agribisnis S1,2018,2024,Mei,Pengajar,3,,,,,,,,,,,4,3,
2024-06-04 11:30:54,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-04 11:34:17,Prodi Kimia,2010,2014,November,ASN/PNS,3,Pemerintah Kota Tangerang Selatan,Pranata Laboratorium Kemetrologian Ahli Pertama,,,,2018,UI,,,Teknik Kimia,4,3,"Tingkatkan lagi perkuliahan dengan dosen tamu, bisa diisi oleh profesional atau alumni"
2024-06-04 12:04:36,Prodi Kimia,2019,2023,Februari,Karyawan Swasta,3,Monarch Multi Industries ,QC Head ,,,5000000,,,,,,3,3,
2024-06-04 12:07:40,Prodi Agribisnis S1,2018,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-05 15:37:22,Prodi Agribisnis S1,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,5,4,
2024-06-06 08:37:12,Prodi Kimia,2019,2023,November,Karyawan Swasta,3,PT dunia rasa indah (Enesis Group),Rnd analyst AnDev ,,,5400000,,,,,,4,4,
2024-06-25 10:49:22,Prodi Kimia,2020,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 14:36:05,Prodi Kimia,2011,2015,Agustus,Karyawan BUMN,3,"PT. Bank Mandiri (Persero), Tbk",Officer / Assisstant Manager,,,,,,,,,4,3,"Pada kurikulum bisa diinput materi terkait soft skills yg akan berguna di pekerjaan nantinya terutama terkait leadership, communication dan problem solving skills. "
2024-06-26 14:39:47,Prodi Kimia,2020,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,5,4,
2024-06-26 14:42:03,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,5,5,
2024-06-26 14:43:08,Prodi Kimia,2008,2013,Februari,Karyawan Swasta,3,,Compliance APU PPT Senior Associate,,,12000000,,,,,,3,3,"banyak sekali ilmu dan pengalaman dari bapak dan ibu dosen maupun teman-teman. Lingkungan di kampus juga sangat nyaman. Selain itu, fasilitasnya juga lengkap sehingga sangat mendukung dan memudahkan para mahasiswa dalam kegiatan belajar.

Semoga walaupun mahasiswanya sudah lulus dari Prodi Kimia Kampus UIN, semoga pihak kampus terutama Prodi dapat memberikan ruang bagi para alumni untuk berkarier dan menuangkan kompetensinya."
2024-06-26 14:45:23,Prodi Kimia,2002,2009,Agustus,Karyawan Swasta,3,UIN Syarif Hidayatullah Jakarta,Laboran Kimia,,,6000000,,,,,,4,5,
2024-06-26 14:45:32,Prodi Kimia,2002,2007,Mei,Karyawan Swasta,6,UIN Syarif Hidayatullah ,Pengelola Laboratorium,,,6000000,,,,,,3,4,Lebih update lagi dengan lingkungan kerja di luar. Bila memang mau yang bekerja agar punya kompetensi yang bersaing. Bila melanjutkan studi ada program kerjasama dengan antar univ atau luar negeri. 
2024-06-26 14:45:58,Prodi Kimia,2011,2015,November,Karyawan BUMN,3,PT. Bank Mandiri (Persero) tbk,Mikro kredit Analis,,,5000000,,,,,,5,3,
2024-06-26 14:47:28,Prodi Kimia,2013,2017,Agustus,Karyawan Swasta,3,PT. Unza Vitalis,Supervisor,,,8000000,,,,,,3,4,
2024-06-26 14:49:44,Prodi Kimia,2011,2015,November,Pengajar,3,Sekolah Murid Merdeka,Tim Learning Coordinator dan Guru,,,5000000,,,,,,3,3,Terima Kasih untuk semua tim dosen yang memberikan ilmu baik secara akademik maupun pengalaman hidup. Tetap semangat untuk mencetak lulusan-lulusan terbaik dari FST khususnya prodi Kimia
2024-06-26 14:50:35,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,3,4,
2024-06-26 15:01:54,Prodi Kimia,2009,2014,Februari,Karyawan Swasta,3,PT. OTSUKA INDONESIA,Sales Eksekutif,,,8000000,,,,,,4,3,sukses selalu prodi kimia FST UIN
2024-06-26 15:10:17,Prodi Kimia,2019,2024,Agustus,sedang mencari kerja,,,,,,,,,,,,5,5,
2024-06-26 15:17:35,Prodi Kimia,2019,2024,Mei,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 15:22:42,Prodi Kimia,2018,2023,November,Karyawan Swasta,3,PT Mitralab Buana ,Analis Laboratorium Lingkungan,,,5000000,,,,,,4,4,"Program magang (pkl) yang di wajibkan oleh prodi sangat membantu saya untuk lebih cepat beradaptasi di dunia kerja, akan lebih baik lagi jika penggunaan instrumen seperti GCMS dan HPLC dapat dilakukan praktikumnya di kampus dan di fasilitasi sertifikat keahlian penggunaan instrumen tersebut, terimakasih :)"
2024-06-26 16:09:37,Prodi Matematika,2020,2024,Mei,Karyawan Swasta,3,Karya Anugrah Teknologi,Telemarketing,,,4800000,,,,,,4,4,
2024-06-26 16:10:16,Prodi Matematika,2019,2023,Agustus,melanjutkan studi,3,,,,,,2024,UI,,,Matematika,5,5,
2024-06-26 16:10:46,Prodi Matematika,2018,2022,Februari,Karyawan Swasta,3,DLT Science Foundation,Staff Data Engineer,2022,ticketing services,10000000,,,,,,3,4,
2024-06-26 16:14:26,Prodi Matematika,2016,2021,Mei,melanjutkan studi,,,,,,,2021,UI,,,"Matematika, FMIPA",5,5,Materi pembelajaran yang Bapak/Ibu dosen berikan selama proses perkuliahan S1 sangat membantu saya dalam melanjutkan studi. Semoga prodi Matematika FST bisa terus berkembang menjadi lebih baik.
2024-06-26 16:16:25,Prodi Matematika,2019,2023,November,Karyawan Swasta,3,Astra Credit Companies,AR Support Analyst,,,7000000,,,,,,3,4,lebih memperbanyak waktu praktek di luar kampus untuk mendapat pengalaman lebih lama di lapangan kerja 
2024-06-26 16:27:06,Prodi Matematika,2019,2023,November,sedang mencari kerja,,,,,,,,,,,,4,4,
2024-06-26 16:30:00,Prodi Matematika,2018,2023,Agustus,Karyawan Swasta,3,PT Peniti Valasindo ,Grand Admin ,,,5000000,,,,,,2,2,
2024-06-26 16:41:17,Prodi Matematika,2014,2019,November,Karyawan Swasta,13,Astra Credit Companies,Admin,,,6000000,,,,,,3,3,
2024-06-26 16:45:41,Prodi Kimia,2019,2024,Mei,Pengajar,3,SMA Islam Al-Mukhlishin,Guru Honorer,,,1000000,,,,,,5,4,
