created_at,username,full_text,favorite_count,quote_count,reply_count,retweet_count,label sentimen
Sat Dec 14 21:14:07 +0000 2024,hendriamin,@ferrykoto @PDI_Perjuangan @prabowo Anggaran rp.10.000 sangat bisa utk makan bergizi. Kuantitas yg dimasak banyak pembelian bahan juga banyak food cost jadi murah. Sumber makanan bergizi tdk selalu dari makanan mahal. Kalo pengelolaannya profesional dan efisien rp. 10.000 sangat bisa.,0,0,0,0,positif
Sat Dec 14 10:00:02 +0000 2024,detikcom,Ketum PDIP Megawati Soekarnoputri mengkritik anggaran Rp 10 ribu per porsi makan bergizi gratis. Cagub Jakarta Pramono Anung menanggapi kritik Megawati. https://t.co/zkJvYhFFeP,3,0,0,0,netral
Sat Dec 14 09:06:31 +0000 2024,Cak_Didi,Gus Menko @cakimiNOW merespons usulan Ketum PDIP Megawati untuk Presiden Prabowo Subianto mengkaji kembali anggaran makan bergizi gratis senilai Rp 10.000/porsi. https://t.co/TVgT0WXBL3,5,0,0,2,netral
Sat Dec 14 07:43:28 +0000 2024,taksuka,Presiden: Anggaran makan bergizi gratis Rp10.000 per porsi. Menko : Masih simulasi. Omon-omon presiden tidak langsung valid.,0,0,0,0,netral
Sat Dec 14 06:17:42 +0000 2024,Sasmo_kliwon,@Anak__Ogi @IrawanRommi 10 ribu biaya yg di berikan pemerintah. Pelaksananya 10 ribu dipotong pajak² berapa anggaran yg tersisa setelah dipotong pajak?silahkan hitung sendiri harga realnya. Anggap saja 7ribu. Dengan harga 7 ribu dapat makan bergizi dan sehat untuk anak. Paling bubur kacang ijo.,0,0,0,0,negatif
Sat Dec 14 05:14:34 +0000 2024,panjianom102,@are_inismyname @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Hitung ulang itu karena keterbatasan anggaran yg semula 15rb. Lagian 10rb itu dpt makan bergizi spt apa?,6,0,0,1,negatif
Sat Dec 14 05:02:20 +0000 2024,kompascom,Pramono Anung menolak untuk memberikan komentar mengenai kritik Megawati Soekarnoputri terkait anggaran program makan bergizi gratis yang disiapkan pemerintah yang hanya sebesar Rp 10.000 per porsi. //MN #PramonoAnung #Megawati #MakanBergiziGratis https://t.co/EX31PmQWEX,1,0,0,1,netral
Sat Dec 14 04:51:35 +0000 2024,kompascom,Iskandar menyatakan anggaran program makan bergizi gratis senilai Rp 10.000 per porsi adalah perhitungan minimal yang digunakan sebagai dasar awal implementasi program tersebut. ~N #Megawati #MakanBergiziGratis #MuhaiminIskandar https://t.co/0A24D2468P,8,3,20,5,netral
Sat Dec 14 04:51:00 +0000 2024,Duren___,MEWAH BANGED Anggaran 10 Rb/Anak Utk Makan Bergizi Ngutang -- Hanya Saja.... Jika diberikan pd Tahun Anggaran 1980-an ya!! . https://t.co/1dNUvR9Lev,41,0,6,10,negatif
Sat Dec 14 04:44:54 +0000 2024,tempodotco,Cak Imin Bilang Anggaran Makan Bergizi Gratis Rp 10 Ribu per Porsi Masih Simulasi https://t.co/NhHGSAy4Ew,38,7,60,5,netral
Sat Dec 14 02:19:57 +0000 2024,kapital77_news,Ketua Umum PDIP Megawati Soekarnoputri menyarankan Presiden Prabowo Subianto menghitung ulang anggaran makan bergizi gratis yang hanya ditetapkan sebesar Rp10 per porsi. #megawati #prabowo #makananbergizi #viralindonesia #indonesia #viral #kejadian #peristiwa https://t.co/2nJqzRRYzf,0,0,0,0,netral
Sat Dec 14 00:46:12 +0000 2024,jivwong,Anggaran yang teruji pastikan makan bergizi gratis cukup memenuhi kebutuhan gizi rakyat. #MBG10000Cukup https://t.co/yT2TdKcDy6,0,0,0,0,positif
Sat Dec 14 00:28:03 +0000 2024,immanuel_padang,@ajining_ati Dana transfer dr pusat ke daerah sudah fix pak dan tidak ada pos anggaran untk makan bergizi Itu yg jd permasalahn di daerah anggaran drmn Saya kritik bkn krna tidak suka dngn program ini saya mendukung tp ayolah kita bwt dengan perencanaan yg bagus,0,0,0,0,negatif
Sat Dec 14 00:28:01 +0000 2024,xningiie,Program makan bergizi gratis penuhi kebutuhan gizi harian dengan anggaran yang efisien. #MBG10000Cukup https://t.co/OhaHvnR6Rr,0,0,0,0,netral
Sat Dec 14 00:10:42 +0000 2024,kiharani,Anggaran makan bergizi gratis dirancang cukup untuk menyediakan gizi seimbang. #MBG10000Cukup https://t.co/2mPn4aV8Aa,0,0,0,0,netral
Sat Dec 14 00:10:24 +0000 2024,Perisialinaa_,Anggaran makan bergizi gratis sudah diuji cukup untuk kebutuhan gizi seimbang. #MBG10000Cukup https://t.co/W2PPj5Q2tR,0,0,0,0,netral
Fri Dec 13 23:09:00 +0000 2024,tribunkaltim,Sorot Anggaran Makan Bergizi Gratis Rp 10.000 dapat Apa? Megawati: Sorry ya Mas Saya Mesti Kritik https://t.co/ixXKs1I1r5 lewat @tribunkaltim,0,0,0,0,netral
Fri Dec 13 22:20:10 +0000 2024,SyahrulDA2,@are_inismyname @Bambangmulyonoo @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Sing diomongke anggaran 10 ribu untuk makan bergizi gratis apa cukup dapatnya apa kok malah nggladrah sampai ekonomi Pancasila Jawab aja cukup dapatnya nasi daging empal sayur buah air mineral susu.,3,1,0,1,netral
Fri Dec 13 22:12:22 +0000 2024,SyahrulDA2,@are_inismyname @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Makan bergizi gratis yg salah satu tujuannya untuk meningkatkan SDM yg unggul dg anggaran 10 ribu itu komposisinya apa aja?,1,0,0,0,netral
