"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868078832441598137","Sat Dec 14 23:41:16 +0000 2024","0","Makan Bergizi Menu Ikan juga menjadi sarana edukasi dan pengingat bahwa ikan harus tetap menjadi sumber protein yg penting bagi masy. Indonesia dlm memenuhi kebutuhan protein hewani. Mengonsumsi ikan sbg sumber protein hewani itu penting sekali! MANTAP! #SDMUnggul https://t.co/Reb0kbexTa","1868078837785133495","https://pbs.twimg.com/media/Gey_ulAasAA6E-2.jpg","pusdikkp","in","Ged. Minabahahari II Lt. 5","0","1","0","https://x.com/pusdikkp/status/1868078837785133495","1605816015044063233","pusdikkp"
"1868078601536667825","Sat Dec 14 23:40:20 +0000 2024","0","Makan Bergizi Menu Ikan juga menjadi sarana edukasi dan pengingat bahwa ikan harus tetap menjadi sumber protein yg penting bagi masy. Indonesia dlm memenuhi kebutuhan protein hewani. Mengonsumsi ikan sbg sumber protein hewani itu penting sekali! MANTAP! #SDMUnggul https://t.co/Z5KXBNUR6s","1868078601536667825","https://pbs.twimg.com/media/Gey_lQwawAAq3h-.jpg","","in","Bali, Indonesia","0","0","0","https://x.com/bppsdm_lrpt/status/1868078601536667825","732741893876932608","bppsdm_lrpt"
"1868077443871043773","Sat Dec 14 23:35:44 +0000 2024","1","implementasi Asta Cita Presiden RI : Polres Bontang Bagikan 988 Box Makan Bergizi Gratis Polres Bontang melaksanakan program berbagi makanan bergizi Gratis kepada santri dan pengasuh di sejumlah panti asuhan dan pondok pesantren di wilayah Kota Bontang. #polresbontang #astacita https://t.co/PEBUBOk6Sr","1868077443871043773","https://pbs.twimg.com/ext_tw_video_thumb/1868077317823889408/pu/img/Z4hh0_7eAWtXmZ3z.jpg","","in","Bontang, Kaltim","0","0","0","https://x.com/BontangSkck/status/1868077443871043773","1498522787837005827","BontangSkck"
"1867460631953289523","Sat Dec 14 23:34:27 +0000 2024","0","@zy_zy_lestary Coba aja deh makan siang gratis 10rb dpt apa udah bergizi + susu belum ","1868077122360881474","","zy_zy_lestary","in","","0","0","0","https://x.com/official690223/status/1868077122360881474","1716492519679356928","official690223"
"1868076940097433833","Sat Dec 14 23:33:49 +0000 2024","0","Makan Bergizi Menu Ikan juga menjadi sarana edukasi dan pengingat bahwa ikan harus tetap menjadi sumber protein yg penting bagi masy. Indonesia dlm memenuhi kebutuhan protein hewani. Mengonsumsi ikan sbg sumber protein hewani itu penting sekali! MANTAP! #SDMUnggul https://t.co/tj4CGBEDL6","1868076960456626313","https://pbs.twimg.com/media/Gey-GIcaIAAbKGq.jpg","BRPI_Sukamandi","in","Patokbeusi, Subang, Indonesia","0","1","0","https://x.com/BRPI_Sukamandi/status/1868076960456626313","714726955833229314","BRPI_Sukamandi"
"1868076940097433833","Sat Dec 14 23:33:44 +0000 2024","0","#SobatBahari 84.653 paket Makan Bergizi dg Menu Ikan dri #BPPSDMKP utk mendukung Ketahanan Pangan #EkonomiBiru menghiasi semarak peringatan #HariNusantara tahun ini di 41 Satker &amp; 17 SFV. Paket tersebar di berbagai lokasi spt kantor sekolah PAUD ponpes Posyandu dll. https://t.co/QBis2i8KJ4","1868076940097433833","https://pbs.twimg.com/media/Gey-E1ub0AARLB7.jpg","","in","Patokbeusi, Subang, Indonesia","0","1","0","https://x.com/BRPI_Sukamandi/status/1868076940097433833","714726955833229314","BRPI_Sukamandi"
"1868076164507738501","Sat Dec 14 23:30:39 +0000 2024","13","Kepala Badan Pangan Nasional (Bapanas) Arief Prasetyo Adi tidak mempermasalahkan harga satuan porsi program makan bergizi gratis. Ia mengatakan baik harga Rp 10 ribu atau Rp 15 ribu tidak jadi masalah selama diberikan sesuai porsinya. UMKM Jepang Jay Idzes Lucas Gibran Malming https://t.co/4XUIfwgjVM","1868076164507738501","https://pbs.twimg.com/media/Gey9XypakAAuUuV.jpg","","in","unlabeled.","1","3","10","https://x.com/attentizon/status/1868076164507738501","1560256782429069314","attentizon"
"1868072039330013287","Sat Dec 14 23:14:15 +0000 2024","0","Pemkot Pekalongan-KKP uji coba program Makan Bergizi Gratis #solidaritasnusANTARA87 https://t.co/AxXiLup4hZ","1868072039330013287","","","in","Jawa Tengah","0","0","0","https://x.com/ANTARA_JATENG/status/1868072039330013287","1593242702342414336","ANTARA_JATENG"
"1868063516927914047","Sat Dec 14 22:40:24 +0000 2024","0","Jangan mempermalukan diri lah bro segitunya membela program yg tidak masuk akal. Ngaku saja lah mana ada makan gratis bergizi dan susu sementara budget cm 10K.","1868063516927914047","","","in","","0","0","0","https://x.com/Bagusmanaa/status/1868063516927914047","1681645358492037126","Bagusmanaa"
"1868058426783457427","Sat Dec 14 22:20:10 +0000 2024","0","Kolonel Inf. Syaeful Aziz tinjau uji coba Program Makan Bergizi gratis di Jember. Pastikan semua siap sebelum launching bulan Januari. Simak selengkapnya disini https://t.co/yY4enkqHGl https://t.co/HdxJM767Oi","1868058426783457427","https://pbs.twimg.com/media/GeytPKRbUAA48rv.jpg","","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/Pendam5/status/1868058426783457427","3193875739","Pendam5"
