"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1867145637768348036","Thu Dec 12 09:53:04 +0000 2024","120","Makan siang Gratis Agak bergizi spt di Afrika ini sudah membuat anak2 disana tumbuh lebih baik. Kita berharap di Indonesia mulai tahun depan dengan uang Rp. 10.000 sekali makan tidak ada yang mengkorupsi atau mengambil keuntungan besar.. Ini demi Indonesia Negeri kita 🇮🇩 https://t.co/TBaD2xvLwG","1867145637768348036","https://pbs.twimg.com/ext_tw_video_thumb/1867145559792115712/pu/img/cQxka1NP3WnMf--K.jpg","","in","ig. @tetapKurawa ","4","31","23","https://x.com/kurawa/status/1867145637768348036","46651600","kurawa"
"1867142798828617974","Thu Dec 12 09:41:47 +0000 2024","143","Mak Mega protes. Anggaran makan siang gratis-nya @prabowo Rp 10.000. Cuma dapat tempe https://t.co/sp2usQZLLr","1867142798828617974","https://pbs.twimg.com/ext_tw_video_thumb/1867142732210434048/pu/img/GowtJ0Iho_mUhWTp.jpg","","in","Indonesia","5","15","63","https://x.com/yaniarsim/status/1867142798828617974","929287558281830400","yaniarsim"
"1866724417876938958","Wed Dec 11 08:20:36 +0000 2024","1","@CNNIndonesia Kapan lagi mas wapres demo makan siang kali ini dgn anggaran Rp 10.000","1866759980625662337","","CNNIndonesia","in","","0","0","0","https://x.com/karatepay/status/1866759980625662337","138739459","karatepay"
"1866745085595095119","Wed Dec 11 07:21:25 +0000 2024","0","Kalo budgetnya cuman 10.000/orang mana bisa realistis aja. Coba dulu makan siang pejabat dibikin 10.000/org kalo berhasil selama setahun. Baru diterapkan nasional. Makan siang pejabat aja bisa sampe 100k perhari wkwwkkw","1866745085595095119","","","in","Pekanbaru","0","0","0","https://x.com/Rizxfa/status/1866745085595095119","459262542","Rizxfa"
"1866717130579906678","Wed Dec 11 05:30:20 +0000 2024","13","ya elu bandingin buffet cafetaria sama makan siang gratis budget 10.000 gak apple to apple taplak meja!","1866717130579906678","","","in","📲 DM for Business Inquiry","1","3","2","https://x.com/mediterariaa_/status/1866717130579906678","1177588738068606977","mediterariaa_"
"1866692189994226133","Wed Dec 11 03:51:14 +0000 2024","0","Sarapan digabung makan siang.. Nasi Padang Malang dipinggir jalan 10.000 saja https://t.co/Q2zWdr3jaN","1866692189994226133","https://pbs.twimg.com/media/GefSjXoaEAEM5WV.jpg","","in","Dikota Dingin","0","0","0","https://x.com/Rahmirose8/status/1866692189994226133","1844240566802055170","Rahmirose8"
"1866278907298857039","Tue Dec 10 23:42:07 +0000 2024","0","@Kimberley_PS08 Di Indonesia makan siang 10.000 atau dibawah 1 US $ dibiayai utang pajak untuk tunjangan gaya hidup hedon pejabat dan keluarganya saya yakin tidak akan meningkatkan kualitas kesehatan anak dan bumil","1866629499795935302","","Kimberley_PS08","in","kolong langit ","0","0","0","https://x.com/keursahdi/status/1866629499795935302","326021389","keursahdi"
"1866278907298857039","Tue Dec 10 11:00:38 +0000 2024","0","@Kimberley_PS08 Makan siang gratis Makan pagi gratis Makan bergizi Sekarang jadi Program makan 10.000","1866437865384837420","","Kimberley_PS08","in","Menteng, Indonesia","0","0","0","https://x.com/1655HandSiauw/status/1866437865384837420","1607239506339692544","1655HandSiauw"
"1866278907298857039","Tue Dec 10 04:02:45 +0000 2024","1","@Kimberley_PS08 Kalau di negeri konoha makan siang bergizi budgetnya 10.000 rupiah belum lagi potong kiri potong kanan potong depan potong belakang potong atas potong bawah tinggal 1000 rupiah cukup buat beli kerupuk","1866332699579056282","","Kimberley_PS08","in","","0","0","0","https://x.com/Jojobetako2/status/1866332699579056282","1628263424630333442","Jojobetako2"
"1865966418677948916","Mon Dec 09 03:47:16 +0000 2024","1","Barusan diadakan sosialisasi dengan wali murid buat membahas simulasi makan siang gratis simulasi makan siang gratis ini pakai biaya orang tua yang mana per anak Rp 10.000 dengan biaya segitu harus dapat nasi lauk bergizi sayur dan buah. Orang tua pada bingung.","1865966418677948916","","","in","andromeda","0","1","0","https://x.com/todayismrth_/status/1865966418677948916","2356269305","todayismrth_"
