"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1867763234671144986","Sat Dec 14 23:37:15 +0000 2024","0","@DokterTifa @prabowo Jgn begitu Bu dia kan janjinya 10 JT lapangan pekerjaan nah itu udh 200 org yg dia pekerjakan untuk bagi2 susu nanti 200 org lg masak2 buat makan siang gratis nah nanti 9.88 jt pekerjaan lg nunggu sungokong ke barat mengambil kitab suci.....","1868077824474792072","","DokterTifa","in","","0","0","0","https://x.com/Fajarfathany84/status/1868077824474792072","1838761410693861380","Fajarfathany84"
"1867947258408558849","Sat Dec 14 22:56:59 +0000 2024","26","@blisonny Terus elu telan bulat bulat omongan Prabowo faktanya baru sebulan dilantik Prabowo sudah melakukan kebohongan Publik saat kampanye Prabowo mengatakan program makan siang gratis per kepala akan dapat budget 15 ribu eh ternyata cuma ceban","1868067690226794689","","blisonny","in","jakarta","0","6","0","https://x.com/Bud_Cavalera/status/1868067690226794689","1055612952","Bud_Cavalera"
"1867948364199018589","Sat Dec 14 15:06:31 +0000 2024","6","@vanc1Bozz @jokowi @prabowo Karena prabowo berguru pada jokowi maka hasilnya sama aja. Makan siang gratis tidak akan menyelesaikan masalah seperti ini apalagi pajak akan dinaikkan","1867949293384147342","","vanc1Bozz","in","Kebayoran Baru, Indonesia","0","1","1","https://x.com/denihartono513/status/1867949293384147342","1603626819898331136","denihartono513"
"1866464297657975123","Sat Dec 14 14:38:34 +0000 2024","0","@prabowo Mohon tanya Benarkah barisan relawan nusantara raya (BRNR) yg mengawal program makan siang gratis yg bpak tunjuk? Karena di setiap desa dan kecamatan sudah diadakan perekrutan verifikator utk program makan siang gratis sebagian dgn iming2 gaji umr..sbgian jg tanpa kejelasan gaji.","1867942263168565361","","prabowo","in","","0","0","0","https://x.com/IqinNdut/status/1867942263168565361","1358459136682283008","IqinNdut"
"1867829346024796300","Sat Dec 14 14:34:36 +0000 2024","0","@susipudjiastuti @prabowo Intinya demi ikn dan program keceplosan alias makan siang gratis","1867941263154233521","","susipudjiastuti","in","","0","0","0","https://x.com/iihjiji/status/1867941263154233521","968246201530253314","iihjiji"
"1867894374413328853","Sat Dec 14 12:04:55 +0000 2024","36","@abu_waras @KemenkeuRI @prabowo Cut of program kerja cut off anggaran. Parleman dikuasai KIM plus jk cut off program aman dr impeachment. Cut off makan siang gratis 71T Cut off IKN 15 T Dah susut 86T Kurang 316T bisa ambil dr sita duit korupsi timah 300T Emas 150T dan korupsi kuoata haji dpt puluhan T","1867903593900376304","","abu_waras","in","Any where any place","0","1","7","https://x.com/Nndraee07/status/1867903593900376304","1521967420889477121","Nndraee07"
"1867796198171848788","Sat Dec 14 10:11:18 +0000 2024","22","@SManikmoyo @pakaipeci @prabowo Bisa buat danai program makan siang gratis tuch @prabowo ","1867875002718282096","","SManikmoyo","in","Jakarta Timur, DKI Jakarta","0","1","1","https://x.com/farrellsyhrz/status/1867875002718282096","1464253979689463808","farrellsyhrz"
"1867872532730204573","Sat Dec 14 10:01:29 +0000 2024","0","Program makan siang bergizi gratis era Presiden Prabowo mulai diuji cobakan di SDN 01 Surodikraman Ponorogo oleh Kodam V Brawijaya https://t.co/02RR4D32D6","1867872532730204573","","","in","Madiun","0","0","0","https://x.com/radarmadiunweb/status/1867872532730204573","1404018642","radarmadiunweb"
"1867829346024796300","Sat Dec 14 09:30:02 +0000 2024","0","@susipudjiastuti @prabowo Semua masalah sumbernya dr makan siang gratis apbn jadinya jebol rakyat jelata yg harus menanggung","1867864618598891876","","susipudjiastuti","in","","0","0","0","https://x.com/SupraPala/status/1867864618598891876","1492838797880754178","SupraPala"
"1867854524922413159","Sat Dec 14 08:49:56 +0000 2024","0","cerita ke nenek kalo dri kmrn dapet mam gratis dari fisipresiasi nenek: dari prabowo kali tuh makan siang gratis me: IDIH","1867854524922413159","","","in","","0","4","0","https://x.com/zayanieel/status/1867854524922413159","1428927879811801088","zayanieel"
"1867829346024796300","Sat Dec 14 07:56:47 +0000 2024","0","@susipudjiastuti @prabowo beda bu vietnam nurunin PPN biar ekonomi masyarakatnya menggeliat lebih kencang indonesia naikin PPN biar bisa bikin program makan siang gratis soalnya APBN udah tekor 400 trilyun lebih beda maksud dan tujuan","1867841150197149889","","susipudjiastuti","in","Bogor","0","0","0","https://x.com/fatioy/status/1867841150197149889","1048255439979261952","fatioy"
"1867825006908256667","Sat Dec 14 07:06:25 +0000 2024","0","@akbarfaizal68 @prabowo Klo alasannya penghematan anggaran negara klo sudah hemat trus mau buat apa hasil penghematannya? Makan siang gratis? IKN? Kenaikan ppn 12% blm cukup utk menutupi itu semua ya? Maaf bang Akbar saya sudah tidak percaya dgn argumen2 pemerintah saat ini penipu semua itu.","1867828476277141723","","karelevan","in","Jakarta - Jogja - Boyolali","0","1","0","https://x.com/karelevan/status/1867828476277141723","141300468","karelevan"
"1867160056049045708","Sat Dec 14 05:15:23 +0000 2024","1","@Amotsky @are_inismyname @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Buzzer makan siang gratis ini gak bisa bedain makanan bergizi dg makan asal kenyang","1867800530850132226","","Amotsky","in","","0","1","0","https://x.com/Maudy_Apain/status/1867800530850132226","1615310330724487169","Maudy_Apain"
"1867763234671144986","Sat Dec 14 04:26:50 +0000 2024","0","@regar_op0sisi @liaasister @DokterTifa @prabowo Janjinya kan makan siang gratis","1867788314029502779","","regar_op0sisi","in","","0","1","0","https://x.com/Passiveact58478/status/1867788314029502779","1827711564998418432","Passiveact58478"
"1867763234671144986","Sat Dec 14 03:58:25 +0000 2024","0","@DokterTifa @prabowo https://t.co/sUVBq1wGOg Jd kesimpulan Bu @DokterTifa KEBIJAKAN IMPOR SUSU (yg katanya u/ mendukung program MAKAN SIANG GRATIS/ MAKAN BERGIZI GRATIS) itu demi CUAN PEMILIK GRUP NORTHSTAR SEKALIGUS YG PY $GOTO (Gojek &amp; Toped). Ada UDANG DIATAS BAKWAN ADA KOMISI CUAN 5X","1867781160715321427","","NgebutMaut","in","","0","0","0","https://x.com/NgebutMaut/status/1867781160715321427","1341301995915812865","NgebutMaut"
"1867776423802679598","Sat Dec 14 03:39:35 +0000 2024","0","Pak @prabowo (ysh) kami komunitas warga bebek pinggir kali mengucapkan terima kasih bahwa makan siang gratis segera bapak realisasikan jika nanti berhasil semoga ini menjadi penyemangat buat memenuhi janji² kampanye yang lain.. https://t.co/qswj54ivBX","1867776423802679598","https://pbs.twimg.com/ext_tw_video_thumb/1867776361529847812/pu/img/ybocA9egjsLeEhML.jpg","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/dul_kangidul/status/1867776423802679598","1043164645773664259","dul_kangidul"
"1867768608782528519","Sat Dec 14 03:08:32 +0000 2024","0","Gratis untuk siapa pak @prabowo ? Pajak Naik &amp; Ada Penambahan Pajak di 2025. serius ?? sepertinya Rakyat malah Tak ada Makan Siang https://t.co/23IFldcQGE","1867768608782528519","","","in","","0","0","0","https://x.com/Rey_Chan99/status/1867768608782528519","1513445879839354885","Rey_Chan99"
"1867724766905610292","Sat Dec 14 02:56:10 +0000 2024","0","@StefanAntonio__ @prabowo @airlangga_hrt @smindrawatii Prabowo mau kumpulin SMI &amp; si gembrot Airlangga bahas makan siang gratis 10K","1867765494805410308","","StefanAntonio__","in","Siantar, Indonesia","0","0","0","https://x.com/desmodromici1/status/1867765494805410308","1708794041998147584","desmodromici1"
"1867729186670182859","Sat Dec 14 02:51:29 +0000 2024","1","@UmarHasibuan__ Setuju! Lebih baik anggarannya buat makan siang gratis. Dan prabowo diangkat presiden seumur hidup! Jangan lupa wakilnya gibran juga. Karena tanpa gibran prabowo bukan apa2","1867764318307332115","","UmarHasibuan__","in","","0","0","0","https://x.com/IndoMeals/status/1867764318307332115","2862528439","IndoMeals"
"1867736141807685691","Sat Dec 14 02:50:34 +0000 2024","0","@ferrykoto @prabowo @jokowi Anggaran yg digunakan untuk program makan gratis per harinya bisa untuk membuka usaha perkebunan atau peternakan. Nanti hasil dari panen perkebunan tsb digunakan untuk bagi² ke anak² sekolah sesuai program makan siang gratis yg dicanangkan.","1867764085963862511","","ferrykoto","in","Keboen Anggur","0","2","0","https://x.com/M4M4D_C41303L/status/1867764085963862511","1816303493940142087","M4M4D_C41303L"
"1867697119680995656","Fri Dec 13 22:25:37 +0000 2024","0","Makanya sasaran makan siang gratis ini harus benar benar tepat sasaran. @Gerindra Siapapun kader member anggota partai gerindra yg berani korupsi akan saya pecat. Kata pak prabowo.","1867697411201872188","","Dirgahayu394","in","Tanah Jawa, Indonesia","0","2","0","https://x.com/Dirgahayu394/status/1867697411201872188","1594969791588016130","Dirgahayu394"
"1867457756279783697","Fri Dec 13 19:25:51 +0000 2024","7","@prabowo Gak ada yg kebetulan di Dunia ini Tentunya jg Gak ada Makan Siang yg Gratis...Pahamkan Tweeps https://t.co/UFDBgxLElh https://t.co/L1t1K6tavC","1867652170600026182","https://pbs.twimg.com/media/Ges7wFMbsAE1yw4.jpg","prabowo","in","Perbatasan 🏝  Tiga Negara","0","1","0","https://x.com/Faraz_kepri/status/1867652170600026182","1513469864798986240","Faraz_kepri"
"1867551302911504870","Fri Dec 13 12:47:38 +0000 2024","0","@wanglaga Janji kampanye Pak @prabowo itu makan siang BERGIZI gratis &amp; susu gratis pernyataan Bu Mega itu realistis. 10k untuk makan BERGIZI dan susu? ","1867551957222928543","","irvanhifa","in","","0","1","0","https://x.com/irvanhifa/status/1867551957222928543","1049921713","irvanhifa"
