"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1867349544981475359","Sat Dec 14 14:39:32 +0000 2024","0","@namaasli392 @XcalbrioAryaK @IrawanRommi Ada kebijakan instant ada jangka panjang. Kebutuhan perut ga bisa ditunda: kasih BLT Menyiapkan generasi masa depan: makan siang gratis anak sekolah. Mendorong masyarakat kecil dgn edukasi dan skill rendah untuk mandiri tanpa ngasih modal sama jg boong. Modalnya drmn? Duit lo?","1867942505733574880","","namaasli392","in","","0","2","0","https://x.com/OpenMindWorld/status/1867942505733574880","1795526591617060864","OpenMindWorld"
"1867864132575502735","Sat Dec 14 09:28:07 +0000 2024","1","Anak Sekolah di JAKARTA akan dapat Sarapan Gratis dari APBD JKT dan Makan Siang Gratis dari APBN. Semoga anak-anak gizinya makin baik. https://t.co/fwWXm0LShL","1867864132575502735","https://pbs.twimg.com/media/Gev8UHyasAAQCXl.jpg","","in","Overseas","0","0","0","https://x.com/BenksWinarso/status/1867864132575502735","1135195284231688194","BenksWinarso"
"1867854780640760176","Sat Dec 14 08:50:57 +0000 2024","0","Sekolah macam apa yg akan di kasi makan siang gratis?","1867854780640760176","","","in","JKT","0","0","0","https://x.com/kakiflaminggo/status/1867854780640760176","429729278","kakiflaminggo"
"1867550115327881527","Sat Dec 14 07:10:56 +0000 2024","0","@_memoryusang @IrawanRommi Serba salah ya cuma mau ngasih makan siang gratis ke anak2 sekolah aja dijadikan debat politik. Egois.","1867829611339600203","","_memoryusang","in","","0","0","0","https://x.com/OpenMindWorld/status/1867829611339600203","1795526591617060864","OpenMindWorld"
"1867814287114481685","Sat Dec 14 06:10:03 +0000 2024","19","Mari kita bahas nasi box yang konon adalah makan siang gratis bagi anak2 sekolah... 1. Lauk ceker ayam Kata AI : Makan ceker ayam secara berlebihan dapat menimbulkan beberapa risiko kesehatan di antaranya : Kolesterol tinggi Dalam 100 gram ceker ayam terdapat 84 mg https://t.co/6diDU3lWB2","1867814287114481685","https://pbs.twimg.com/media/GevPMcuaMAAEu1o.jpg","","in","In her dream...","0","1","9","https://x.com/ferizandra/status/1867814287114481685","80559922","ferizandra"
"1867247538686108079","Sat Dec 14 05:50:33 +0000 2024","0","@DoankWarto Gak usah didengerin omongan nenek-nenek ini mengritik makan siang gratis sama saja mendukung programnya. Anak Indonesia gak butuh makan siang gratis itu idenya penguasa bukan maunya anak sekolah. Yang dibutuhkan Anak Indonesia itu pendidikan gratis.","1867809383738225131","","DoankWarto","in","404 Not Found","0","0","0","https://x.com/molerkodja/status/1867809383738225131","1688024778266050560","molerkodja"
"1867736141807685691","Sat Dec 14 02:50:34 +0000 2024","0","@ferrykoto @prabowo @jokowi Anggaran yg digunakan untuk program makan gratis per harinya bisa untuk membuka usaha perkebunan atau peternakan. Nanti hasil dari panen perkebunan tsb digunakan untuk bagi² ke anak² sekolah sesuai program makan siang gratis yg dicanangkan.","1867764085963862511","","ferrykoto","in","Keboen Anggur","0","2","0","https://x.com/M4M4D_C41303L/status/1867764085963862511","1816303493940142087","M4M4D_C41303L"
"1867615865921003585","Fri Dec 13 17:01:35 +0000 2024","0","Gua sedih deh adanya program makan siang gratis di sekolah omset penjualan nyokap gua menurun dan dagangan gua juga engga kayak kemarin pengennya sih balik kayak awal dulu stabil. Jujur nih program engga ngeliat dampak yang di rasain orang kantin ","1867615865921003585","","","in","","0","0","0","https://x.com/buzzeryunho/status/1867615865921003585","1852334063161675776","buzzeryunho"
"1867342073084690508","Fri Dec 13 15:48:20 +0000 2024","0","@MulyanaIkh94633 @uchiihasisuii @IrawanRommi Murah tapi memenuhi standard gizi 4 sehat 5 sempurna ga? Karna tujuan makan siang gratis itu ya pemenuhan gizi anak sekolah. Paham ya? Jangan dibandingin dengan kebutuhan kuli kerja.","1867597430096867831","","MulyanaIkh94633","in","","0","1","0","https://x.com/infinix302023/status/1867597430096867831","1720781641495539712","infinix302023"
"1867141056443355279","Fri Dec 13 15:11:19 +0000 2024","0","@kurawa Dana makan siang gratis 71 T setahun coba hitung katanya targetnya 3 jt anak.. 3 jt dikalikan Rp 10000 .. anak2 paling sekolah cm 5 hari dalam seminggu belum ada libur hari nasional dan libur setelah ujian . Lebihnya kemana itu??? Harus jelas","1867588115935920423","","kurawa","in","","0","0","0","https://x.com/li28679760/status/1867588115935920423","2366422921","li28679760"
